person,track,datetime,X,Y,6,7,8,9,trip,mode,purpose,start,end
2421,91626,2013-09-05 07:32:08,5.0365323754352405,51.660837287647396,65,0.0,-1,2,,,home,,
2421,91626,2013-09-05 07:34:08,5.0365323754352405,51.660837287647396,65,0.0,-1,2,1,1,home-work,2013-09-05 07:34:08,2013-09-05 07:35:06
2421,91626,2013-09-05 07:34:10,5.0365241803275795,51.660855165730801,30,0.0,-1,2,1,1,home-work,2013-09-05 07:34:08,2013-09-05 07:35:06
2421,91626,2013-09-05 07:34:11,5.0364986155229001,51.660849885131796,10,6.8039999999999994,-1,2,1,1,home-work,2013-09-05 07:34:08,2013-09-05 07:35:06
2421,91626,2013-09-05 07:34:34,5.0363164767669906,51.660735933158207,5,5.8044400000000005,193,2,1,1,home-work,2013-09-05 07:34:08,2013-09-05 07:35:06
2421,91626,2013-09-05 07:35:06,5.0355840660678597,51.659455890815401,10,15.442,206,2,1,1,home-work,2013-09-05 07:34:08,2013-09-05 07:35:06
2421,91626,2013-09-05 07:36:06,5.0355840660678597,51.659455890815401,10,15.442,206,2,,,work,,
2420,91534,2013-09-04 16:49:52,4.9202057835917099,51.633525484746293,89,0.0,-1,2,,,home,,
2420,91534,2013-09-04 16:50:52,4.9202057835917099,51.633525484746293,89,0.0,-1,2,1,1,home-leasure,2013-09-04 16:50:52,2013-09-04 16:50:57
2420,91534,2013-09-04 16:50:53,4.9200592333712594,51.633450051075002,80,0.0,-1,2,1,1,home-leasure,2013-09-04 16:50:52,2013-09-04 16:50:57
2420,91534,2013-09-04 16:50:54,4.9200246487527499,51.633381720996198,79,0.0,-1,2,1,1,home-leasure,2013-09-04 16:50:52,2013-09-04 16:50:57
2420,91534,2013-09-04 16:50:56,4.9194088152017805,51.6334160169353,30,0.0,-1,2,1,1,home-leasure,2013-09-04 16:50:52,2013-09-04 16:50:57
2420,91534,2013-09-04 16:50:58,4.9194088152017805,51.6334160169353,10,0.0,-1,2,,,leasure,,
2420,92150,2013-09-06 20:56:21,4.9423420495914101,51.625363241689101,65,0.0,-1,2,1,2,leasure-home,2013-09-06 20:56:21,2013-09-06 20:58:27
2420,92150,2013-09-06 20:58:26,4.9422427238946902,51.625526195891396,50,0.0,-1,2,1,2,leasure-home,2013-09-06 20:56:21,2013-09-06 20:58:27
2420,92150,2013-09-06 20:58:27,4.9422914258383095,51.625477238848397,30,0.0,-1,2,1,2,leasure-home,2013-09-06 20:56:21,2013-09-06 20:58:27
2420,92150,2013-09-06 21:00:00,4.9422914258383095,51.625477238848397,30,0.0,-1,2,,,home,,
